"max_humidity","min_humidity","wind","max_temp","precip","min_temp","water_year","season"
0.9792774,0.37622803,2.5946968,64.14638,0,44.44304,1997,"wet"
0.9810256,0.37643913,2.0073795,65.399648,3.8034105984e-05,42.9323,1997,"wet"
0.9810257,0.44959534,2.1783419,67.617284,0,47.0210000000001,1997,"wet"
0.9810257,0.46074177,2.5633755,66.64928,0,45.284504,1997,"wet"
0.9003052,0.41915558,3.7861853,63.33368,0.011463386976,46.44176,1997,"wet"
0.7084454,0.36342064,1.6953143,62.898224,8.87050224e-05,46.33034,1997,"wet"
0.7611855,0.48720917,4.995746,59.9018,0.0034043858496,48.441596,1997,"wet"
0.81714035,0.55287678,5.1456456,61.9862,0.029845019808,51.552968,1997,"wet"
0.9447188,0.51034397,1.5288323,64.32728,0.00802548,48.024212,1997,"wet"
0.9367632,0.44282383,2.4211934,62.933324,0,44.421692,1997,"wet"
0.9522754,0.52829407,1.2760172,61.954664,0,44.58506,1997,"wet"
0.89629234,0.3668293,4.0916176,66.154136,0.010125205632,46.244876,1997,"wet"
0.8836187,0.50505238,1.867401,65.959124,0.014024807424,51.69218,1997,"wet"
0.9968585,0.55300064,3.5954113,61.1141,0.00043661917728,44.2211,1997,"wet"
0.9851515,0.5296524,2.1383512,61.96892,0,45.919292,1997,"wet"
0.9750488,0.4571686,1.1693051,66.220268,0,47.909912,1997,"wet"
0.8740873,0.4168117,2.8137908,67.263206,0.024254090496,49.64972,1997,"wet"
0.895091,0.58244793,3.302161,56.942708,0.011406982464,46.258394,1997,"wet"
0.8367832,0.5004472,3.673299,59.719172,0.0034013359296,47.13656,1997,"wet"
1,0.46905212,1.4057943,58.450244,0.014876475552,38.022764,1997,"wet"
0.654743,0.52592384,4.9793096,57.022016,0.0850535856,49.727588,1997,"wet"
1,0.47557537,3.3109972,59.14283,0.037138982976,40.41257,1997,"wet"
0.679869,0.49409763,3.6278634,57.699266,0.0050124715488,48.0299,1997,"wet"
0.6912021,0.41685852,3.4735355,60.358784,0.0011143205856,47.674526,1997,"wet"
0.97973526,0.38795925,5.9207535,57.649064,0.0007958385216,36.651344,1997,"wet"
0.6844708,0.3290451,3.1761944,56.743196,0.00053100249408,39.01955,1997,"wet"
0.83513016,0.332701,2.9415827,58.027334,0,37.9754059999999,1997,"wet"
0.85675476,0.3660851,1.1059912,61.51442,0.0001249830432,42.252116,1997,"wet"
0.97986694,0.5250483,3.0394437,59.571734,0.0016462300032,44.206916,1997,"wet"
0.9341855,0.4229931,1.6985165,65.17931,0.00026069820192,46.053212,1997,"wet"
0.8660581,0.31593803,5.334026,64.74434,0,41.697914,1997,"wet"
0.9101503,0.23839098,2.9772887,70.91276,0,40.41356,1997,"wet"
0.6870233,0.23018997,1.377371,71.291948,0,43.220606,1997,"wet"
1,0.4274951,2.8130078,62.811374,0,37.833188,1997,"wet"
0.95178444,0.35962997,3.4836051,64.236092,0,41.999648,1997,"wet"
0.9309473,0.32783936,1.8062236,65.353172,0,41.40491,1997,"wet"
0.92354935,0.3610547,2.4801283,63.362336,0,40.606574,1997,"wet"
0.8973091,0.27352205,5.4858155,71.640752,0,43.64951,1997,"wet"
0.75869774,0.35666813,4.0903425,58.770446,0,39.5915,1997,"wet"
0.78771416,0.32804142,1.1661905,59.201708,0,37.992992,1997,"wet"
0.95456856,0.39563843,1.1734968,62.49425,0.0010599777504,41.48726,1997,"wet"
0.63831314,0.6390465,5.968749,57.077672,0.013401172224,52.13732,1997,"wet"
0.79177505,0.57668068,5.4382334,57.3845,0.008232077952,46.844834,1997,"wet"
0.94836914,0.42237865,3.7782416,58.86536,0.003836031696,37.145228,1997,"wet"
0.7275748,0.5123202,2.5548913,61.823264,0.0014581944864,50.96741,1997,"wet"
